COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"LEE,SOU",1.4,0.8,1.8,0.9,3,1.8,1.9,1.3,3,2.3,1.9,1.4,1.3,4,1.4,28.2,2.82,0.8735804812,2.463496957
"ARS,SOU",1.4,2.5,2.4,0.9,4.1,1.9,1.9,1.4,1.9,3,1.9,1.4,2.5,2.4,1.4,31,3.1,0.7952238379,2.465193898
"BUR,FUL",3.1,2,1.5,1.9,1.4,1,1,1.9,0.9,3.6,1.9,3.5,1.5,2,1.9,29.1,2.91,0.848359762,2.468726907
"MUN,TOT",1.9,0.8,1.4,3,1.8,2.4,1.4,1.4,0.8,3,3,1.4,1.8,1.3,3.5,28.9,2.89,0.8547904227,2.470344321
"BUR,TOT",1.9,3,1.4,1.9,1.4,2.4,1.4,1.4,0.9,4.1,1.9,1.4,1.9,3,1.9,29.9,2.99,0.8293428265,2.479735051
"CHE,SHU",1.8,1.8,1.3,0.8,0.8,4,2.3,1.3,1.8,1.3,1.3,2.3,3.5,1.8,1.8,27.9,2.79,0.8934683622,2.492776731
"EVE,NEW",3,1,1.5,1.5,3.7,3,2,3,1.5,1.5,2,1,2,1,2,29.7,2.97,0.8402380615,2.495507043
"SHU,WOL",1.8,1.8,1.3,0.8,0.8,1.3,0.8,3.5,2.5,1.3,3,1.3,3.5,1.8,1.8,27.3,2.73,0.9143303561,2.496121872
"MCI,WBA",3.1,2.5,2.9,1.8,2,2,1.5,3.1,3.4,1.5,0.8,2,0.8,1.5,1.3,30.2,3.02,0.8279636523,2.50045023
"LEI,WHU",1.3,1.8,3.1,2.5,1.3,3.5,1.8,1,2,0.8,1.8,1.3,1,3.5,1.5,28.2,2.82,0.8873717211,2.502388254
"AVL,BHA",3.6,1.5,1.5,2.4,1.4,0.9,2.5,1.9,1.5,3,1.5,3.5,1.4,1.4,1,29,2.9,0.8640987598,2.505886403
"SHU,WBA",3,1.8,1.3,3,0.8,2,1.5,3.1,2.5,1.3,1,2,3.5,1.5,1.8,30.1,3.01,0.8327807692,2.506670115
"ARS,SHU",1.4,1.8,1.3,1.4,0.8,3,4.1,1.4,1.9,1.3,3,1.9,2.5,1.8,1.8,29.4,2.94,0.8567379996,2.518809719
"FUL,TOT",1.9,2,1.4,3.6,2,1,1,1.4,2,3.6,3,1.4,1.5,2,2.5,30.3,3.03,0.8325520147,2.522632604
"CHE,MUN",1.8,0.8,1.3,0.8,1.8,3.5,2.3,1.3,0.8,3,1.3,2.3,1.8,1.3,3.5,27.6,2.76,0.9140178179,2.522689177
"MUN,NEW",3,0.8,1.8,2,1.8,3.5,2,2.3,0.8,1.5,2,1,1.8,1,3.5,28.8,2.88,0.876030006,2.522966417
"NEW,WHU",1.5,1.5,3.1,2,3.6,3.6,2,1,2,1.5,2,1,1,1,1.5,28.3,2.83,0.8919214144,2.524137603
"MCI,WOL",1.8,3.4,2.9,0.8,1.8,1.3,0.8,3.5,2.5,1.8,0.8,1.3,0.8,2.3,1.3,27.1,2.71,0.9315629468,2.524535586
"TOT,WHU",1.5,3,1.4,3.6,2.5,2.4,1.4,1,2,1.5,3,1.4,1,3,1.5,30.2,3.02,0.8365461875,2.526369486
"FUL,MCI",3.1,2,1.5,1.8,2,1,1,3,2,1.8,0.8,4,0.8,2,1.3,28.1,2.81,0.9129752513,2.565460456
"WHU,WOL",1.5,3.6,3,0.8,1.8,1.3,0.8,1,2,1.5,3.7,1.3,1,2.3,1.5,27.1,2.71,0.9497869435,2.573922617
"BUR,CRY",2.5,3.5,1.9,1.9,1.4,1.4,3.5,1.4,0.9,1.4,1.4,3,1.9,3,1.9,31,3.1,0.8338093878,2.584809102
"SOU,WOL",1.4,3,2.4,0.8,1.8,1.3,0.8,1.4,2.5,3.5,1.9,1.3,3.5,2.3,1.4,29.3,2.93,0.8846845012,2.592125589
"LEE,SHU",3,0.8,1.3,3.5,0.8,1.8,3,1.3,2.5,1.3,3,2.5,1.3,1.8,1.8,29.7,2.97,0.8743977519,2.596961323
"BUR,EVE",3.6,1,1.5,1.5,1.4,3,2,1.9,0.9,1.5,1.9,3.5,1.9,3,1.9,30.5,3.05,0.8516091212,2.59740782
"LIV,SHU",1.3,1.8,1.3,1.8,0.8,1.3,2.8,4,2.5,1.3,2.9,1.3,2.9,1.3,0.8,28.1,2.81,0.932329392,2.619845592
"ARS,MUN",1.4,0.8,1.8,1.4,1.8,3,3,1.4,0.8,3,3,1.9,1.8,1.3,3.5,29.9,2.99,0.8795020236,2.629711051
"MCI,SHU",3,1.8,1.3,1.8,0.8,2.3,1.8,4,2.5,1.3,0.8,3,0.8,1.8,1.3,28.3,2.83,0.9295672316,2.630675265
"MCI,NEW",3,1.5,2.9,1.8,2.9,2.3,1.8,3,3.4,1.5,0.8,1,0.8,1,1.3,29,2.9,0.9084261639,2.634435875
"CRY,TOT",1.9,3,1.4,4.1,1.4,1.4,1.4,1.4,2.4,1.4,1.4,1.4,3,3,1.9,30.5,3.05,0.8640987598,2.635501217
"ARS,WOL",1.4,2.5,3,0.8,1.8,1.3,0.8,1.4,1.9,3,3.5,1.3,2.5,2.3,3,30.5,3.05,0.8640987598,2.635501217
"BHA,FUL",3.1,1.9,1.5,2.4,1.4,0.9,1,1.9,1.9,3.6,2.5,3.5,1.4,1.4,2.5,30.9,3.09,0.853396575,2.636995417
"ARS,BHA",1.4,1.9,3.6,1.4,1.4,0.9,3.5,1.4,1.9,3,2.5,1.9,1.4,1.4,3,30.6,3.06,0.8633820542,2.641949086
"EVE,SOU",1.4,1,1.5,0.9,4.1,1.9,1.9,1.4,1.5,1.5,1.9,1.4,3.5,3.1,1.4,28.4,2.84,0.9307958704,2.643460272
"FUL,SHU",3,1.8,1.3,3.5,0.8,1,1,3,2,1.3,3,3,1.5,1.8,1.8,29.8,2.98,0.8879081892,2.645966404
"WBA,WOL",1.8,2.5,3,0.8,1.8,1.3,0.8,3.1,2.5,1.5,1,1.3,3.5,1.5,3,29.4,2.94,0.9014274394,2.650196672
"EVE,MUN",3.6,0.8,1.5,1.5,1.8,3,2,2.3,0.8,1.5,2.5,3.7,1.8,1.3,2,30.1,3.01,0.8859753839,2.666785906
"ARS,EVE",1.4,1,1.5,1.4,4.5,3,2,1.4,1.5,1.5,2.5,1.9,2.5,2.4,2,30.5,3.05,0.8755950358,2.670564859
"CRY,SHU",2.5,1.8,1.3,3.5,0.8,1.4,3.5,1.4,2.4,1.3,1.4,3,3,1.8,1.8,30.9,3.09,0.8650350943,2.672958441
"CHE,WHU",1.5,3.6,1.3,0.8,2.5,4,2.3,1,1.8,1.5,1.3,2,1,2.5,1.5,28.6,2.86,0.9346249566,2.673027376
"AVL,SHU",3,1.5,1.3,3.5,0.8,1.5,2.5,3.6,1.5,1.3,1.5,3,2,1.5,1,29.5,2.95,0.9146948489,2.698349804
"CRY,SOU",1.4,3,1.9,0.9,1.4,1.4,1.9,1.4,2.4,1.4,1.4,1.4,3,4.5,1.4,28.8,2.88,0.942034273,2.713058706
"BUR,WHU",1.5,3.5,2.5,1.9,1.4,3,3.6,1,0.9,1.5,1.9,2,1,3,1.5,30.2,3.02,0.9022722638,2.724862237
"CHE,TOT",1.8,3,1.3,0.8,2.5,2.4,1.4,1.3,1.8,3,1.3,1.4,3.5,2.5,3.5,31.5,3.15,0.8750510189,2.75641071
"LEE,TOT",1.9,0.8,1.4,4.1,2.5,1.8,1.4,1.3,3,2.3,3,1.4,1.3,3,1.8,31,3.1,0.8973505977,2.781786853
"SOU,WHU",1.4,3,2.4,0.9,3.6,1.9,1.9,1,2,1.5,1.9,1.4,1,4.2,1.4,29.5,2.95,0.9678154094,2.855055458
"FUL,LEE",3.1,0.8,1.5,3.6,2,1,1,1.3,2,2.3,4,2.5,1.3,2,1.8,30.2,3.02,0.9568300839,2.889626853
"AVL,FUL",3.1,1.5,1.5,3.6,2,1,1,3,1.5,3,1.5,3.6,1.5,1.5,1,30.3,3.03,0.9570788891,2.899949034
"ARS,NEW",1.4,1.5,3.6,1.4,3.7,3,2,1.4,1.9,1.5,2,1,2,1,3.6,31,3.1,0.9461702253,2.933127698
"TOT,WOL",1.8,3,1.4,0.8,1.8,1.3,0.8,1.4,2.5,3.5,3,1.3,3.5,2.3,3,31.4,3.14,0.9399594723,2.951472743
"EVE,SHU",3,1,1.3,1.5,0.8,3,2,3.7,1.5,1.3,2.5,3,3.5,1.8,1.8,31.7,3.17,0.9334013581,2.958882305
"MUN,SHU",3,0.8,1.3,3,0.8,3.5,3,2.3,0.8,1.3,3,3,1.8,1.3,1.8,30.7,3.07,0.9701742602,2.978434979
