COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"BHA,LIV,TOT",3.2,4.9,4.3,4.2,3.7,2.2,4.2,3.3,4.8,5.9,40.7,4.07,1.034998658,4.212444538
"LIV,SHU,SOU",2.7,4.8,3.7,2.7,3.1,3.2,4.7,5.4,5.4,3.1,38.8,3.88,1.08709603,4.217932595
"FUL,LEI,WHU",2.8,3.8,4.6,6.1,3.3,4.5,2.8,4,4,2.3,38.2,3.82,1.105340571,4.222400981
"CHE,CRY,WBA",4.3,6.6,3.2,3.8,3.4,3.4,3.8,2.7,4.2,2.9,38.3,3.83,1.102572749,4.222853628
"MUN,SOU,TOT",3.3,3.8,3.2,3.9,4.3,4.3,3.3,2.8,4.3,6.6,39.8,3.98,1.061236176,4.223719982
"CRY,MUN,WBA",5.6,3.3,3.7,6,3.2,3.4,4.5,3.7,3.2,2.9,39.5,3.95,1.070046728,4.226684575
"LIV,NEW,TOT",3.2,4.5,4.3,3.8,4.8,3.7,3.4,4.4,6.6,3.3,42,4.2,1.006644591,4.227907284
"EVE,SHU,TOT",4.9,2.8,2.7,5,3.3,5.4,3.4,5.1,4,2.8,39.4,3.94,1.073105566,4.22803593
"EVE,MCI,TOT",5.5,4,2.9,3.3,5.4,4.7,3.2,5.1,4.9,3.3,42.3,4.23,1.001165987,4.234932125
"CRY,FUL,LEI",3.8,3.8,3.4,6.1,2.7,2.4,2.8,4.4,4.4,2.2,36,3.6,1.178511302,4.242640687
"CHE,LEI,LIV",2.6,5.8,4.2,2.6,3.6,4.8,4.1,4.3,4.7,2.6,39.3,3.93,1.080174883,4.24508729
"AVL,LIV,TOT",3.2,4.5,2.9,5.9,4.8,2.8,3.9,5,4.4,4.8,42.2,4.22,1.006423812,4.247108486
"AVL,BHA,LIV",4.9,3.4,4.4,4.2,3.7,2.2,5.3,5.5,3.4,4.8,41.8,4.18,1.017404104,4.252749155
"CHE,FUL,LIV",3.1,6,2.8,2.6,4.3,2.3,3.3,4.3,3.8,4.8,37.3,3.73,1.141198201,4.256669289
