COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"CHE,CRY,FUL,MCI,NEW",10.4,11,7.6,8.2,8.8,8.3,7.1,8.7,9.6,7.7,87.4,2.185,1.254503,2.741089056
"ARS,EVE,FUL,LEI,TOT",7.7,7.3,9.4,9,10.3,9.4,6.2,8.8,9.9,8.9,86.9,2.1725,1.261788854,2.741236284
"BHA,CRY,MUN,NEW,SOU",10.5,7.2,9.7,8.3,8.3,7.7,10.4,7,8.6,9.5,87.2,2.18,1.257687472,2.741758689
"ARS,FUL,LEI,MUN,SOU",7.2,7.1,10.7,7.8,9.2,9.4,7.7,8.1,8.2,10.4,85.8,2.145,1.278714632,2.742842886
"BUR,LEE,LEI,LIV,WOL",9.4,10.1,10.2,7,6.8,7.4,8.4,9.7,9.3,8.4,86.7,2.1675,1.265833059,2.743693155
"CRY,LEE,LEI,MUN,WOL",10.6,7.5,8.5,10.4,6.3,8,8.6,8,8.7,7.5,84.1,2.1025,1.305075562,2.743921369
"CRY,EVE,MUN,NEW,WOL",10.9,7.4,8.2,7.3,8.7,9.2,7.8,10.2,7.2,7.4,84.3,2.1075,1.302177663,2.744339425
"BUR,CHE,FUL,LEI,LIV",7.5,11.3,8.2,7,7,8.8,7.9,9.2,7.6,9.2,83.7,2.0925,1.312376978,2.746148827
"CRY,EVE,FUL,LIV,SOU",8.3,10,7.3,7.8,9.8,5.6,7.7,9.5,8.8,8.3,83.1,2.0775,1.321993444,2.74644138
"ARS,CHE,MUN,TOT,WBA",8.2,8.8,8.2,8.2,8.8,10.9,8.2,6.4,8.7,10.5,86.9,2.1725,1.264427846,2.746969495
"ARS,CRY,FUL,MUN,WBA",10.1,7.8,8.9,11,7.2,7.4,9,8.1,7.1,8.9,85.5,2.1375,1.285171843,2.747054815
"CHE,FUL,LEE,SHU,WOL",9.7,9.1,5.9,8.7,7.1,8.1,7.1,9.1,8.8,10.1,83.7,2.0925,1.313223346,2.747919851
"BUR,CRY,EVE,LIV,TOT",9.3,11.5,7.3,9.3,7.6,8.1,9.7,8.4,7.7,8.8,87.7,2.1925,1.253484033,2.748263743
"CHE,LEE,WBA,WHU,WOL",8.2,11.4,9.2,8.2,9.3,9.1,7.6,6.7,9.3,8.3,87.3,2.1825,1.259673679,2.749237805
"ARS,CHE,FUL,LEI,SHU",7.5,8.1,9.1,8.2,6.6,11.5,9.2,8.7,8.2,8.1,85.2,2.13,1.290822305,2.749451509
"BHA,FUL,LEI,SHU,SOU",8.8,7.5,8.8,9.3,5.5,7.3,8.2,9.3,9.9,9.3,83.9,2.0975,1.311021654,2.74986792
"BHA,CHE,LEE,LEI,SOU",8.1,7.5,9.1,6.6,8.2,8.1,9,5.9,10.2,9.7,82.4,2.06,1.335165408,2.75044074
"CRY,EVE,LEE,TOT,WOL",9.8,8.9,6.6,10.5,8.7,6.9,7.2,7.6,9.4,8.7,84.3,2.1075,1.306437055,2.753316093
"CHE,LEI,LIV,MUN,TOT",6.3,9.6,7.4,8.1,7.9,10.7,8.3,8,10,8.6,84.9,2.1225,1.298246681,2.75552858
"BUR,EVE,FUL,LEI,LIV",9.3,8.3,8.4,7.7,7,8.3,7.6,11.6,7.3,7.7,83.2,2.08,1.324806065,2.755596616
"BHA,LEE,LEI,WHU,WOL",8.2,8.1,11.5,9.3,7.5,7.5,9.1,7.2,9.4,8.1,85.9,2.1475,1.283614688,2.756562542
"CHE,CRY,EVE,LIV,MUN",9.2,9.9,6.5,7.1,8,9.2,10.1,8.7,6.5,7.7,82.9,2.0725,1.331206637,2.758925756
"CRY,EVE,LIV,NEW,TOT",8.7,9.5,7.7,9.4,9.9,8.1,8.2,9.5,10.5,6.2,87.7,2.1925,1.258791307,2.759899941
"CRY,EVE,LEE,NEW,WOL",10.9,7.4,8.2,8.4,9.9,7.5,7.8,9.2,9.4,6.7,85.4,2.135,1.292886521,2.760312722
"BUR,FUL,LEI,LIV,SOU",7.1,10.3,9.3,7.1,7,7.2,7.5,9.3,9.3,9.8,83.9,2.0975,1.316096923,2.760513296
